rl_epoch_num : 2
mode : train
data : ./data/OD/dialogues.json
beam_size : 10
batch_size : 32
cuda : False
pretrain : False
vocab_size : 800
sampling : False
beam_search : False
z_length : 8
spv_proportion : 100
teacher_force : 100
m : TSD
result_path : ./results/od.csv
vocab_path : ./vocab/vocab-od.pkl
truncated : False
early_stop_count : 3
prev_z_method : separate
skip_unsup : False
eos_m_token : EOS_M
seed : 0
hidden_size : 50
model_path : ./models/od.pkl
unfrz_attn_epoch : 0
lr : 0.003
embedding_size : 50
split : (3, 1, 1)
entity : ./data/OD/entities.json
max_ts : 40
new_vocab : True
db : ./data/OD/DB.json
dropout_rate : 0.5
layer_num : 1
glove_path : ./data/glove/glove.6B.50d.txt
beam_len_bonus : 0.5
epoch_num : 100
degree_size : 5
lr_decay : 0.5
cuda_device : 0
START_CSV_SECTION
dial_id,turn_num,user,generated_bspan,bspan,generated_response,response,u_len,m_len,supervised
3893,0,data concerning merchant,merchant EOS_Z1,merchant EOS_Z1,dataset_link_SLOT,dataset_link_SLOT,4,2,True
4544,0,what do you have on austria,austria EOS_Z1,austria EOS_Z1,dataset_link_SLOT,dataset_link_SLOT,7,2,True
3808,0,how about close ?,close EOS_Z1,close EOS_Z1,dataset_link_SLOT,dataset_link_SLOT,5,2,True
3885,0,data concerning nose,nose EOS_Z1,nose EOS_Z1,dataset_link_SLOT,dataset_link_SLOT,4,2,True
3718,0,how about depend ?,depend EOS_Z1,depend EOS_Z1,dataset_link_SLOT,dataset_link_SLOT,5,2,True
4464,0,what do you have on admire,admire EOS_Z1,admire EOS_Z1,dataset_link_SLOT,dataset_link_SLOT,7,2,True
3996,0,im interested in datasets related to conviction,conviction EOS_Z1,conviction EOS_Z1,dataset_link_SLOT,dataset_link_SLOT,8,2,True
4293,0,i am interested in datasets related to radio,radio EOS_Z1,radio EOS_Z1,dataset_link_SLOT,dataset_link_SLOT,9,2,True
4217,0,is there something on assertive,assertive EOS_Z1,assertive EOS_Z1,dataset_link_SLOT,dataset_link_SLOT,6,2,True
3915,0,data concerning reference,reference EOS_Z1,reference EOS_Z1,dataset_link_SLOT,dataset_link_SLOT,4,2,True
4437,0,what do you have on hour,hour EOS_Z1,hour EOS_Z1,dataset_link_SLOT,dataset_link_SLOT,7,2,True
4505,0,what do you have on north,north EOS_Z1,north EOS_Z1,dataset_link_SLOT,dataset_link_SLOT,7,2,True
3675,0,how about reference ?,reference EOS_Z1,reference EOS_Z1,dataset_link_SLOT,dataset_link_SLOT,5,2,True
4260,0,is there something on fall,fall EOS_Z1,fall EOS_Z1,dataset_link_SLOT,dataset_link_SLOT,6,2,True
3764,0,how about jet ?,jet EOS_Z1,jet EOS_Z1,dataset_link_SLOT,dataset_link_SLOT,5,2,True
4492,0,what do you have on radio,radio EOS_Z1,radio EOS_Z1,dataset_link_SLOT,dataset_link_SLOT,7,2,True
3969,0,data concerning offspring,offspring EOS_Z1,offspring EOS_Z1,dataset_link_SLOT,dataset_link_SLOT,4,2,True
4318,0,i am interested in datasets related to inflate,inflate EOS_Z1,inflate EOS_Z1,dataset_link_SLOT,dataset_link_SLOT,9,2,True
4135,0,is there something on enemy,enemy EOS_Z1,enemy EOS_Z1,dataset_link_SLOT,dataset_link_SLOT,6,2,True
3811,0,how about monarch ?,monarch EOS_Z1,monarch EOS_Z1,dataset_link_SLOT,dataset_link_SLOT,5,2,True
4548,0,what do you have on doll,doll EOS_Z1,doll EOS_Z1,dataset_link_SLOT,dataset_link_SLOT,7,2,True
4465,0,what do you have on glance,glance EOS_Z1,glance EOS_Z1,dataset_link_SLOT,dataset_link_SLOT,7,2,True
4010,0,im interested in datasets related to radio,radio EOS_Z1,radio EOS_Z1,dataset_link_SLOT,dataset_link_SLOT,8,2,True
4458,0,what do you have on break,break EOS_Z1,break EOS_Z1,dataset_link_SLOT,dataset_link_SLOT,7,2,True
3761,0,how about behave ?,behave EOS_Z1,behave EOS_Z1,dataset_link_SLOT,dataset_link_SLOT,5,2,True
4413,0,i am interested in datasets related to honest,honest EOS_Z1,honest EOS_Z1,dataset_link_SLOT,dataset_link_SLOT,9,2,True
4268,0,is there something on trait,trait EOS_Z1,trait EOS_Z1,dataset_link_SLOT,dataset_link_SLOT,6,2,True
3899,0,data concerning refuse,refuse EOS_Z1,refuse EOS_Z1,dataset_link_SLOT,dataset_link_SLOT,4,2,True
4456,0,what do you have on referee,referee EOS_Z1,referee EOS_Z1,dataset_link_SLOT,dataset_link_SLOT,7,2,True
4444,0,what do you have on topple,topple EOS_Z1,topple EOS_Z1,dataset_link_SLOT,dataset_link_SLOT,7,2,True
4308,0,i am interested in datasets related to escape,escape EOS_Z1,escape EOS_Z1,dataset_link_SLOT,dataset_link_SLOT,9,2,True
4262,0,is there something on pluck,pluck EOS_Z1,pluck EOS_Z1,dataset_link_SLOT,dataset_link_SLOT,6,2,True
3751,0,how about joke ?,joke EOS_Z1,joke EOS_Z1,dataset_link_SLOT,dataset_link_SLOT,5,2,True
4587,0,what do you have on twilight,twilight EOS_Z1,twilight EOS_Z1,dataset_link_SLOT,dataset_link_SLOT,7,2,True
3784,0,how about discipline ?,discipline EOS_Z1,discipline EOS_Z1,dataset_link_SLOT,dataset_link_SLOT,5,2,True
4154,0,is there something on tourist,tourist EOS_Z1,tourist EOS_Z1,dataset_link_SLOT,dataset_link_SLOT,6,2,True
4032,0,im interested in datasets related to discipline,discipline EOS_Z1,discipline EOS_Z1,dataset_link_SLOT,dataset_link_SLOT,8,2,True
4556,0,what do you have on basic,basic EOS_Z1,basic EOS_Z1,dataset_link_SLOT,dataset_link_SLOT,7,2,True
4498,0,what do you have on assignment,assignment EOS_Z1,assignment EOS_Z1,dataset_link_SLOT,dataset_link_SLOT,7,2,True
4417,0,i am interested in datasets related to europe,europe EOS_Z1,europe EOS_Z1,dataset_link_SLOT,dataset_link_SLOT,9,2,True
3797,0,how about strict ?,strict EOS_Z1,strict EOS_Z1,dataset_link_SLOT,dataset_link_SLOT,5,2,True
4296,0,i am interested in datasets related to arena,arena EOS_Z1,arena EOS_Z1,dataset_link_SLOT,dataset_link_SLOT,9,2,True
3902,0,data concerning wolf,wolf EOS_Z1,wolf EOS_Z1,dataset_link_SLOT,dataset_link_SLOT,4,2,True
4177,0,is there something on drive,drive EOS_Z1,drive EOS_Z1,dataset_link_SLOT,dataset_link_SLOT,6,2,True
3821,0,how about north ?,north EOS_Z1,north EOS_Z1,dataset_link_SLOT,dataset_link_SLOT,5,2,True
3857,0,data concerning point,point EOS_Z1,point EOS_Z1,dataset_link_SLOT,dataset_link_SLOT,4,2,True
3836,0,data concerning fall,fall EOS_Z1,fall EOS_Z1,dataset_link_SLOT,dataset_link_SLOT,4,2,True
4142,0,is there something on launch,launch EOS_Z1,launch EOS_Z1,dataset_link_SLOT,dataset_link_SLOT,6,2,True
4490,0,what do you have on bathtub,bathtub EOS_Z1,bathtub EOS_Z1,dataset_link_SLOT,dataset_link_SLOT,7,2,True
4453,0,what do you have on way,way EOS_Z1,way EOS_Z1,dataset_link_SLOT,dataset_link_SLOT,7,2,True
4192,0,is there something on tie,tie EOS_Z1,tie EOS_Z1,dataset_link_SLOT,dataset_link_SLOT,6,2,True
4188,0,is there something on beer,beer EOS_Z1,beer EOS_Z1,dataset_link_SLOT,dataset_link_SLOT,6,2,True
4150,0,is there something on snatch,snatch EOS_Z1,snatch EOS_Z1,dataset_link_SLOT,dataset_link_SLOT,6,2,True
4276,0,is there something on belt,belt EOS_Z1,belt EOS_Z1,dataset_link_SLOT,dataset_link_SLOT,6,2,True
3746,0,how about aluminium ?,aluminium EOS_Z1,aluminium EOS_Z1,dataset_link_SLOT,dataset_link_SLOT,5,2,True
3743,0,how about node ?,node EOS_Z1,node EOS_Z1,dataset_link_SLOT,dataset_link_SLOT,5,2,True
4220,0,is there something on apology,apology EOS_Z1,apology EOS_Z1,dataset_link_SLOT,dataset_link_SLOT,6,2,True
4589,0,what do you have on classify,classify EOS_Z1,classify EOS_Z1,dataset_link_SLOT,dataset_link_SLOT,7,2,True
4129,0,im interested in datasets related to basic,basic EOS_Z1,basic EOS_Z1,dataset_link_SLOT,dataset_link_SLOT,8,2,True
4241,0,is there something on soft,soft EOS_Z1,soft EOS_Z1,dataset_link_SLOT,dataset_link_SLOT,6,2,True
3721,0,how about economist ?,economist EOS_Z1,economist EOS_Z1,dataset_link_SLOT,dataset_link_SLOT,5,2,True
3976,0,data concerning classify,classify EOS_Z1,classify EOS_Z1,dataset_link_SLOT,dataset_link_SLOT,4,2,True
4130,0,im interested in datasets related to manager,manager EOS_Z1,manager EOS_Z1,dataset_link_SLOT,dataset_link_SLOT,8,2,True
4004,0,im interested in datasets related to club,club EOS_Z1,club EOS_Z1,dataset_link_SLOT,dataset_link_SLOT,8,2,True
4569,0,what do you have on behave,behave EOS_Z1,behave EOS_Z1,dataset_link_SLOT,dataset_link_SLOT,7,2,True
4214,0,is there something on standard,standard EOS_Z1,standard EOS_Z1,dataset_link_SLOT,dataset_link_SLOT,6,2,True
3873,0,data concerning major,major EOS_Z1,major EOS_Z1,dataset_link_SLOT,dataset_link_SLOT,4,2,True
3807,0,how about austria ?,austria EOS_Z1,austria EOS_Z1,dataset_link_SLOT,dataset_link_SLOT,5,2,True
3933,0,data concerning vegetable,vegetable EOS_Z1,vegetable EOS_Z1,dataset_link_SLOT,dataset_link_SLOT,4,2,True
4449,0,what do you have on belt,belt EOS_Z1,belt EOS_Z1,dataset_link_SLOT,dataset_link_SLOT,7,2,True
3856,0,data concerning twilight,twilight EOS_Z1,twilight EOS_Z1,dataset_link_SLOT,dataset_link_SLOT,4,2,True
4212,0,is there something on vertical,vertical EOS_Z1,vertical EOS_Z1,dataset_link_SLOT,dataset_link_SLOT,6,2,True
4068,0,im interested in datasets related to presidential,presidential EOS_Z1,presidential EOS_Z1,dataset_link_SLOT,dataset_link_SLOT,8,2,True
3786,0,how about budge ?,budge EOS_Z1,budge EOS_Z1,dataset_link_SLOT,dataset_link_SLOT,5,2,True
4081,0,im interested in datasets related to beer,beer EOS_Z1,beer EOS_Z1,dataset_link_SLOT,dataset_link_SLOT,8,2,True
4042,0,im interested in datasets related to jet,jet EOS_Z1,jet EOS_Z1,dataset_link_SLOT,dataset_link_SLOT,8,2,True
4310,0,i am interested in datasets related to strict,strict EOS_Z1,strict EOS_Z1,dataset_link_SLOT,dataset_link_SLOT,9,2,True
4035,0,im interested in datasets related to vegetable,vegetable EOS_Z1,vegetable EOS_Z1,dataset_link_SLOT,dataset_link_SLOT,8,2,True
4513,0,what do you have on motorist,motorist EOS_Z1,motorist EOS_Z1,dataset_link_SLOT,dataset_link_SLOT,7,2,True
3923,0,data concerning housewife,housewife EOS_Z1,housewife EOS_Z1,dataset_link_SLOT,dataset_link_SLOT,4,2,True
4225,0,is there something on conviction,conviction EOS_Z1,conviction EOS_Z1,dataset_link_SLOT,dataset_link_SLOT,6,2,True
3974,0,data concerning whole,whole EOS_Z1,whole EOS_Z1,dataset_link_SLOT,dataset_link_SLOT,4,2,True
4303,0,i am interested in datasets related to ghostwriter,ghostwriter EOS_Z1,ghostwriter EOS_Z1,dataset_link_SLOT,dataset_link_SLOT,9,2,True
3874,0,data concerning sculpture,sculpture EOS_Z1,sculpture EOS_Z1,dataset_link_SLOT,dataset_link_SLOT,4,2,True
3674,0,how about trade ?,trade EOS_Z1,trade EOS_Z1,dataset_link_SLOT,dataset_link_SLOT,5,2,True
4428,0,i am interested in datasets related to way,way EOS_Z1,way EOS_Z1,dataset_link_SLOT,dataset_link_SLOT,9,2,True
4022,0,im interested in datasets related to whole,whole EOS_Z1,whole EOS_Z1,dataset_link_SLOT,dataset_link_SLOT,8,2,True
4433,0,i am interested in datasets related to profile,profile EOS_Z1,profile EOS_Z1,dataset_link_SLOT,dataset_link_SLOT,9,2,True
4406,0,i am interested in datasets related to distinct,distinct EOS_Z1,distinct EOS_Z1,dataset_link_SLOT,dataset_link_SLOT,9,2,True
4160,0,is there something on positive,positive EOS_Z1,positive EOS_Z1,dataset_link_SLOT,dataset_link_SLOT,6,2,True
4229,0,is there something on expectation,expectation EOS_Z1,expectation EOS_Z1,dataset_link_SLOT,dataset_link_SLOT,6,2,True
3695,0,how about shallow ?,shallow EOS_Z1,shallow EOS_Z1,dataset_link_SLOT,dataset_link_SLOT,5,2,True
4110,0,im interested in datasets related to aluminium,aluminium EOS_Z1,aluminium EOS_Z1,dataset_link_SLOT,dataset_link_SLOT,8,2,True
3752,0,how about assertive ?,assertive EOS_Z1,assertive EOS_Z1,dataset_link_SLOT,dataset_link_SLOT,5,2,True
3884,0,data concerning lick,lick EOS_Z1,lick EOS_Z1,dataset_link_SLOT,dataset_link_SLOT,4,2,True
3957,0,data concerning doll,doll EOS_Z1,doll EOS_Z1,dataset_link_SLOT,dataset_link_SLOT,4,2,True
4300,0,i am interested in datasets related to ambition,ambition EOS_Z1,ambition EOS_Z1,dataset_link_SLOT,dataset_link_SLOT,9,2,True
4086,0,im interested in datasets related to housewife,housewife EOS_Z1,housewife EOS_Z1,dataset_link_SLOT,dataset_link_SLOT,8,2,True
4239,0,is there something on regular,regular EOS_Z1,regular EOS_Z1,dataset_link_SLOT,dataset_link_SLOT,6,2,True
4359,0,i am interested in datasets related to classify,classify EOS_Z1,classify EOS_Z1,dataset_link_SLOT,dataset_link_SLOT,9,2,True
4382,0,i am interested in datasets related to core,core EOS_Z1,core EOS_Z1,dataset_link_SLOT,dataset_link_SLOT,9,2,True
4203,0,is there something on solve,solve EOS_Z1,solve EOS_Z1,dataset_link_SLOT,dataset_link_SLOT,6,2,True
4408,0,i am interested in datasets related to node,node EOS_Z1,node EOS_Z1,dataset_link_SLOT,dataset_link_SLOT,9,2,True
4394,0,i am interested in datasets related to kit,kit EOS_Z1,kit EOS_Z1,dataset_link_SLOT,dataset_link_SLOT,9,2,True
4226,0,is there something on velvet,velvet EOS_Z1,velvet EOS_Z1,dataset_link_SLOT,dataset_link_SLOT,6,2,True
3869,0,data concerning radio,radio EOS_Z1,radio EOS_Z1,dataset_link_SLOT,dataset_link_SLOT,4,2,True
3941,0,data concerning essential,essential EOS_Z1,essential EOS_Z1,dataset_link_SLOT,dataset_link_SLOT,4,2,True
4084,0,im interested in datasets related to depend,depend EOS_Z1,depend EOS_Z1,dataset_link_SLOT,dataset_link_SLOT,8,2,True
4486,0,what do you have on aluminium,aluminium EOS_Z1,aluminium EOS_Z1,dataset_link_SLOT,dataset_link_SLOT,7,2,True
4532,0,what do you have on jet,jet EOS_Z1,jet EOS_Z1,dataset_link_SLOT,dataset_link_SLOT,7,2,True
4424,0,i am interested in datasets related to right,right EOS_Z1,right EOS_Z1,dataset_link_SLOT,dataset_link_SLOT,9,2,True
4531,0,what do you have on reform,reform EOS_Z1,reform EOS_Z1,dataset_link_SLOT,dataset_link_SLOT,7,2,True
4027,0,im interested in datasets related to bathtub,bathtub EOS_Z1,bathtub EOS_Z1,dataset_link_SLOT,dataset_link_SLOT,8,2,True
4380,0,i am interested in datasets related to damn,damn EOS_Z1,damn EOS_Z1,dataset_link_SLOT,dataset_link_SLOT,9,2,True
4528,0,what do you have on science,science EOS_Z1,science EOS_Z1,dataset_link_SLOT,dataset_link_SLOT,7,2,True
4023,0,im interested in datasets related to epicalyx,epicalyx EOS_Z1,epicalyx EOS_Z1,dataset_link_SLOT,dataset_link_SLOT,8,2,True
3955,0,data concerning launch,launch EOS_Z1,launch EOS_Z1,dataset_link_SLOT,dataset_link_SLOT,4,2,True
3690,0,how about mercy ?,mercy EOS_Z1,mercy EOS_Z1,dataset_link_SLOT,dataset_link_SLOT,5,2,True
4414,0,i am interested in datasets related to conviction,conviction EOS_Z1,conviction EOS_Z1,dataset_link_SLOT,dataset_link_SLOT,9,2,True
4580,0,what do you have on entitlement,entitlement EOS_Z1,entitlement EOS_Z1,dataset_link_SLOT,dataset_link_SLOT,7,2,True
4182,0,is there something on strategic,strategic EOS_Z1,strategic EOS_Z1,dataset_link_SLOT,dataset_link_SLOT,6,2,True
4583,0,what do you have on shallow,shallow EOS_Z1,shallow EOS_Z1,dataset_link_SLOT,dataset_link_SLOT,7,2,True
4055,0,im interested in datasets related to major,major EOS_Z1,major EOS_Z1,dataset_link_SLOT,dataset_link_SLOT,8,2,True
4289,0,i am interested in datasets related to neglect,neglect EOS_Z1,neglect EOS_Z1,dataset_link_SLOT,dataset_link_SLOT,9,2,True
3914,0,data concerning vertical,vertical EOS_Z1,vertical EOS_Z1,dataset_link_SLOT,dataset_link_SLOT,4,2,True
4255,0,is there something on housewife,housewife EOS_Z1,housewife EOS_Z1,dataset_link_SLOT,dataset_link_SLOT,6,2,True
4001,0,im interested in datasets related to restrict,restrict EOS_Z1,restrict EOS_Z1,dataset_link_SLOT,dataset_link_SLOT,8,2,True
4419,0,i am interested in datasets related to tree,tree EOS_Z1,tree EOS_Z1,dataset_link_SLOT,dataset_link_SLOT,9,2,True
4256,0,is there something on cause,cause EOS_Z1,cause EOS_Z1,dataset_link_SLOT,dataset_link_SLOT,6,2,True
3851,0,data concerning north,north EOS_Z1,north EOS_Z1,dataset_link_SLOT,dataset_link_SLOT,4,2,True
4357,0,i am interested in datasets related to lineage,lineage EOS_Z1,lineage EOS_Z1,dataset_link_SLOT,dataset_link_SLOT,9,2,True
4263,0,is there something on virus,virus EOS_Z1,virus EOS_Z1,dataset_link_SLOT,dataset_link_SLOT,6,2,True
4416,0,i am interested in datasets related to sunrise,sunrise EOS_Z1,sunrise EOS_Z1,dataset_link_SLOT,dataset_link_SLOT,9,2,True
4468,0,what do you have on nose,nose EOS_Z1,nose EOS_Z1,dataset_link_SLOT,dataset_link_SLOT,7,2,True
3832,0,data concerning admire,admire EOS_Z1,admire EOS_Z1,dataset_link_SLOT,dataset_link_SLOT,4,2,True
3744,0,how about kit ?,kit EOS_Z1,kit EOS_Z1,dataset_link_SLOT,dataset_link_SLOT,5,2,True
4278,0,is there something on displace,displace EOS_Z1,displace EOS_Z1,dataset_link_SLOT,dataset_link_SLOT,6,2,True
4469,0,what do you have on rebel,rebel EOS_Z1,rebel EOS_Z1,dataset_link_SLOT,dataset_link_SLOT,7,2,True
4317,0,i am interested in datasets related to apology,apology EOS_Z1,apology EOS_Z1,dataset_link_SLOT,dataset_link_SLOT,9,2,True
3872,0,data concerning damn,damn EOS_Z1,damn EOS_Z1,dataset_link_SLOT,dataset_link_SLOT,4,2,True
3717,0,how about solve ?,solve EOS_Z1,solve EOS_Z1,dataset_link_SLOT,dataset_link_SLOT,5,2,True
4379,0,i am interested in datasets related to dogs,dogs EOS_Z1,dogs EOS_Z1,dataset_link_SLOT,dataset_link_SLOT,9,2,True
4298,0,i am interested in datasets related to virus,virus EOS_Z1,virus EOS_Z1,dataset_link_SLOT,dataset_link_SLOT,9,2,True
3726,0,how about consciousness ?,consciousness EOS_Z1,consciousness EOS_Z1,dataset_link_SLOT,dataset_link_SLOT,5,2,True
4138,0,is there something on resident,resident EOS_Z1,resident EOS_Z1,dataset_link_SLOT,dataset_link_SLOT,6,2,True
4146,0,is there something on railroad,railroad EOS_Z1,railroad EOS_Z1,dataset_link_SLOT,dataset_link_SLOT,6,2,True
3712,0,how about concert ?,concert EOS_Z1,concert EOS_Z1,dataset_link_SLOT,dataset_link_SLOT,5,2,True
3795,0,how about parameter ?,parameter EOS_Z1,parameter EOS_Z1,dataset_link_SLOT,dataset_link_SLOT,5,2,True
4389,0,i am interested in datasets related to monarch,monarch EOS_Z1,monarch EOS_Z1,dataset_link_SLOT,dataset_link_SLOT,9,2,True
4307,0,i am interested in datasets related to suite,suite EOS_Z1,suite EOS_Z1,dataset_link_SLOT,dataset_link_SLOT,9,2,True
4582,0,what do you have on housewife,housewife EOS_Z1,housewife EOS_Z1,dataset_link_SLOT,dataset_link_SLOT,7,2,True
3758,0,how about referee ?,referee EOS_Z1,referee EOS_Z1,dataset_link_SLOT,dataset_link_SLOT,5,2,True
3767,0,how about vertical ?,vertical EOS_Z1,vertical EOS_Z1,dataset_link_SLOT,dataset_link_SLOT,5,2,True
3999,0,im interested in datasets related to close,close EOS_Z1,close EOS_Z1,dataset_link_SLOT,dataset_link_SLOT,8,2,True
4385,0,i am interested in datasets related to vegetable,vegetable EOS_Z1,vegetable EOS_Z1,dataset_link_SLOT,dataset_link_SLOT,9,2,True
4166,0,is there something on dogs,dogs EOS_Z1,dogs EOS_Z1,dataset_link_SLOT,dataset_link_SLOT,6,2,True
4283,0,is there something on classify,classify EOS_Z1,classify EOS_Z1,dataset_link_SLOT,dataset_link_SLOT,6,2,True
4381,0,i am interested in datasets related to presidential,presidential EOS_Z1,presidential EOS_Z1,dataset_link_SLOT,dataset_link_SLOT,9,2,True
4537,0,what do you have on velvet,velvet EOS_Z1,velvet EOS_Z1,dataset_link_SLOT,dataset_link_SLOT,7,2,True
3842,0,data concerning unfortunate,unfortunate EOS_Z1,unfortunate EOS_Z1,dataset_link_SLOT,dataset_link_SLOT,4,2,True
4337,0,i am interested in datasets related to point,point EOS_Z1,point EOS_Z1,dataset_link_SLOT,dataset_link_SLOT,9,2,True
3839,0,data concerning resident,resident EOS_Z1,resident EOS_Z1,dataset_link_SLOT,dataset_link_SLOT,4,2,True
4085,0,im interested in datasets related to entitlement,entitlement EOS_Z1,entitlement EOS_Z1,dataset_link_SLOT,dataset_link_SLOT,8,2,True
3865,0,data concerning break,break EOS_Z1,break EOS_Z1,dataset_link_SLOT,dataset_link_SLOT,4,2,True
3729,0,how about right ?,right EOS_Z1,right EOS_Z1,dataset_link_SLOT,dataset_link_SLOT,5,2,True
4427,0,i am interested in datasets related to bathtub,bathtub EOS_Z1,bathtub EOS_Z1,dataset_link_SLOT,dataset_link_SLOT,9,2,True
4441,0,what do you have on competition,competition EOS_Z1,competition EOS_Z1,dataset_link_SLOT,dataset_link_SLOT,7,2,True
4434,0,i am interested in datasets related to live,live EOS_Z1,live EOS_Z1,dataset_link_SLOT,dataset_link_SLOT,9,2,True
4415,0,i am interested in datasets related to beer,beer EOS_Z1,beer EOS_Z1,dataset_link_SLOT,dataset_link_SLOT,9,2,True
3939,0,data concerning right,right EOS_Z1,right EOS_Z1,dataset_link_SLOT,dataset_link_SLOT,4,2,True
3954,0,data concerning civilian,civilian EOS_Z1,civilian EOS_Z1,dataset_link_SLOT,dataset_link_SLOT,4,2,True
3800,0,how about whip ?,whip EOS_Z1,whip EOS_Z1,dataset_link_SLOT,dataset_link_SLOT,5,2,True
4167,0,is there something on sunrise,sunrise EOS_Z1,sunrise EOS_Z1,dataset_link_SLOT,dataset_link_SLOT,6,2,True
4173,0,is there something on vienna,vienna EOS_Z1,vienna EOS_Z1,dataset_link_SLOT,dataset_link_SLOT,6,2,True
4405,0,i am interested in datasets related to glance,glance EOS_Z1,glance EOS_Z1,dataset_link_SLOT,dataset_link_SLOT,9,2,True
3862,0,data concerning catalogue,catalogue EOS_Z1,catalogue EOS_Z1,dataset_link_SLOT,dataset_link_SLOT,4,2,True
3812,0,how about arena ?,arena EOS_Z1,arena EOS_Z1,dataset_link_SLOT,dataset_link_SLOT,5,2,True
4340,0,i am interested in datasets related to regular,regular EOS_Z1,regular EOS_Z1,dataset_link_SLOT,dataset_link_SLOT,9,2,True
3886,0,data concerning close,close EOS_Z1,close EOS_Z1,dataset_link_SLOT,dataset_link_SLOT,4,2,True
3935,0,data concerning temptation,temptation EOS_Z1,temptation EOS_Z1,dataset_link_SLOT,dataset_link_SLOT,4,2,True
3818,0,how about pluck ?,pluck EOS_Z1,pluck EOS_Z1,dataset_link_SLOT,dataset_link_SLOT,5,2,True
4426,0,i am interested in datasets related to motorist,motorist EOS_Z1,motorist EOS_Z1,dataset_link_SLOT,dataset_link_SLOT,9,2,True
3680,0,how about regular ?,regular EOS_Z1,regular EOS_Z1,dataset_link_SLOT,dataset_link_SLOT,5,2,True
3693,0,how about core ?,core EOS_Z1,core EOS_Z1,dataset_link_SLOT,dataset_link_SLOT,5,2,True
4054,0,im interested in datasets related to assertive,assertive EOS_Z1,assertive EOS_Z1,dataset_link_SLOT,dataset_link_SLOT,8,2,True
4189,0,is there something on dedicate,dedicate EOS_Z1,dedicate EOS_Z1,dataset_link_SLOT,dataset_link_SLOT,6,2,True
4033,0,im interested in datasets related to positive,positive EOS_Z1,positive EOS_Z1,dataset_link_SLOT,dataset_link_SLOT,8,2,True
4557,0,what do you have on depend,depend EOS_Z1,depend EOS_Z1,dataset_link_SLOT,dataset_link_SLOT,7,2,True
4045,0,im interested in datasets related to tree,tree EOS_Z1,tree EOS_Z1,dataset_link_SLOT,dataset_link_SLOT,8,2,True
4584,0,what do you have on weed,weed EOS_Z1,weed EOS_Z1,dataset_link_SLOT,dataset_link_SLOT,7,2,True
4291,0,i am interested in datasets related to flood,flood EOS_Z1,flood EOS_Z1,dataset_link_SLOT,dataset_link_SLOT,9,2,True
3828,0,data concerning node,node EOS_Z1,node EOS_Z1,dataset_link_SLOT,dataset_link_SLOT,4,2,True
4432,0,i am interested in datasets related to break,break EOS_Z1,break EOS_Z1,dataset_link_SLOT,dataset_link_SLOT,9,2,True
4251,0,is there something on close,close EOS_Z1,close EOS_Z1,dataset_link_SLOT,dataset_link_SLOT,6,2,True
3919,0,data concerning manager,manager EOS_Z1,manager EOS_Z1,dataset_link_SLOT,dataset_link_SLOT,4,2,True
3986,0,im interested in datasets related to austria,austria EOS_Z1,austria EOS_Z1,dataset_link_SLOT,dataset_link_SLOT,8,2,True
4073,0,im interested in datasets related to point,point EOS_Z1,point EOS_Z1,dataset_link_SLOT,dataset_link_SLOT,8,2,True
4231,0,is there something on motorist,motorist EOS_Z1,motorist EOS_Z1,dataset_link_SLOT,dataset_link_SLOT,6,2,True
4257,0,is there something on wolf,wolf EOS_Z1,wolf EOS_Z1,dataset_link_SLOT,dataset_link_SLOT,6,2,True
4247,0,is there something on point,point EOS_Z1,point EOS_Z1,dataset_link_SLOT,dataset_link_SLOT,6,2,True
4003,0,im interested in datasets related to dash,dash EOS_Z1,dash EOS_Z1,dataset_link_SLOT,dataset_link_SLOT,8,2,True
4213,0,is there something on bathtub,bathtub EOS_Z1,bathtub EOS_Z1,dataset_link_SLOT,dataset_link_SLOT,6,2,True
4052,0,im interested in datasets related to civilian,civilian EOS_Z1,civilian EOS_Z1,dataset_link_SLOT,dataset_link_SLOT,8,2,True
4059,0,im interested in datasets related to solve,solve EOS_Z1,solve EOS_Z1,dataset_link_SLOT,dataset_link_SLOT,8,2,True
3768,0,how about dedicate ?,dedicate EOS_Z1,dedicate EOS_Z1,dataset_link_SLOT,dataset_link_SLOT,5,2,True
3926,0,data concerning shareholder,shareholder EOS_Z1,shareholder EOS_Z1,dataset_link_SLOT,dataset_link_SLOT,4,2,True
4238,0,is there something on discriminate,discriminate EOS_Z1,discriminate EOS_Z1,dataset_link_SLOT,dataset_link_SLOT,6,2,True
3707,0,how about lineage ?,lineage EOS_Z1,lineage EOS_Z1,dataset_link_SLOT,dataset_link_SLOT,5,2,True
4190,0,is there something on ambition,ambition EOS_Z1,ambition EOS_Z1,dataset_link_SLOT,dataset_link_SLOT,6,2,True
4313,0,i am interested in datasets related to catalogue,catalogue EOS_Z1,catalogue EOS_Z1,dataset_link_SLOT,dataset_link_SLOT,9,2,True
4445,0,what do you have on dogs,dogs EOS_Z1,dogs EOS_Z1,dataset_link_SLOT,dataset_link_SLOT,7,2,True
3805,0,how about sculpture ?,sculpture EOS_Z1,sculpture EOS_Z1,dataset_link_SLOT,dataset_link_SLOT,5,2,True
4195,0,is there something on rebel,rebel EOS_Z1,rebel EOS_Z1,dataset_link_SLOT,dataset_link_SLOT,6,2,True
4104,0,im interested in datasets related to node,node EOS_Z1,node EOS_Z1,dataset_link_SLOT,dataset_link_SLOT,8,2,True
